nm	Abs
700.00	0.001
699.80	0.000
699.60	0.000
699.40	0.001
699.20	0.000
699.00	0.000
698.80	0.000
698.60	0.000
698.40	0.001
698.20	0.000
698.00	0.000
697.80	0.001
697.60	0.000
697.40	0.000
697.20	0.001
697.00	0.000
696.80	0.001
696.60	0.000
696.40	0.001
696.20	0.000
696.00	0.000
695.80	0.000
695.60	0.000
695.40	0.001
695.20	0.000
695.00	0.000
694.80	0.000
694.60	0.001
694.40	0.001
694.20	0.000
694.00	0.000
693.80	0.000
693.60	0.001
693.40	0.000
693.20	0.000
693.00	0.001
692.80	0.000
692.60	0.000
692.40	0.000
692.20	0.001
692.00	0.000
691.80	0.000
691.60	0.001
691.40	0.000
691.20	0.000
691.00	-0.001
690.80	0.001
690.60	0.000
690.40	-0.001
690.20	0.001
690.00	0.001
689.80	-0.001
689.60	0.001
689.40	0.000
689.20	0.000
689.00	0.001
688.80	0.000
688.60	0.001
688.40	0.000
688.20	-0.001
688.00	0.001
687.80	0.001
687.60	0.000
687.40	0.001
687.20	0.000
687.00	0.000
686.80	0.000
686.60	0.000
686.40	0.000
686.20	0.000
686.00	0.000
685.80	0.000
685.60	0.000
685.40	0.001
685.20	0.000
685.00	0.000
684.80	0.000
684.60	0.001
684.40	0.000
684.20	0.000
684.00	0.000
683.80	0.001
683.60	0.001
683.40	-0.001
683.20	0.002
683.00	0.000
682.80	0.000
682.60	0.001
682.40	-0.001
682.20	0.001
682.00	0.000
681.80	0.000
681.60	0.001
681.40	0.000
681.20	0.000
681.00	0.000
680.80	0.000
680.60	0.000
680.40	0.000
680.20	0.000
680.00	0.000
679.80	0.000
679.60	0.000
679.40	0.000
679.20	0.000
679.00	0.000
678.80	0.000
678.60	0.001
678.40	0.000
678.20	0.000
678.00	0.000
677.80	0.000
677.60	0.000
677.40	0.001
677.20	-0.001
677.00	0.000
676.80	0.001
676.60	-0.001
676.40	0.000
676.20	0.000
676.00	0.000
675.80	0.001
675.60	-0.001
675.40	0.001
675.20	0.000
675.00	0.000
674.80	0.001
674.60	-0.001
674.40	0.000
674.20	0.000
674.00	0.000
673.80	0.000
673.60	0.000
673.40	0.000
673.20	0.000
673.00	0.000
672.80	0.000
672.60	0.001
672.40	0.000
672.20	0.000
672.00	0.001
671.80	0.000
671.60	0.000
671.40	-0.001
671.20	0.000
671.00	0.000
670.80	0.000
670.60	0.000
670.40	0.000
670.20	0.001
670.00	0.000
669.80	0.000
669.60	0.000
669.40	0.000
669.20	0.000
669.00	0.000
668.80	0.000
668.60	0.000
668.40	0.001
668.20	0.000
668.00	0.000
667.80	0.001
667.60	0.000
667.40	0.001
667.20	-0.001
667.00	0.000
666.80	0.001
666.60	0.000
666.40	0.000
666.20	0.000
666.00	-0.001
665.80	0.000
665.60	0.000
665.40	0.000
665.20	0.000
665.00	0.000
664.80	0.000
664.60	0.000
664.40	-0.001
664.20	0.001
664.00	0.000
663.80	0.000
663.60	0.000
663.40	0.000
663.20	0.000
663.00	-0.001
662.80	0.000
662.60	0.000
662.40	0.000
662.20	0.001
662.00	-0.001
661.80	0.001
661.60	0.000
661.40	0.000
661.20	0.002
661.00	-0.001
660.80	-0.001
660.60	0.001
660.40	-0.001
660.20	0.000
660.00	0.000
659.80	0.000
659.60	0.001
659.40	0.000
659.20	0.000
659.00	0.000
658.80	0.000
658.60	0.000
658.40	0.001
658.20	0.000
658.00	0.000
657.80	0.000
657.60	0.000
657.40	-0.001
657.20	0.000
657.00	0.001
656.80	0.000
656.60	0.000
656.40	0.000
656.20	0.000
656.00	0.000
655.80	0.000
655.60	-0.001
655.40	0.001
655.20	0.000
655.00	0.001
654.80	0.000
654.60	-0.001
654.40	0.001
654.20	0.000
654.00	-0.001
653.80	0.001
653.60	-0.001
653.40	0.001
653.20	0.000
653.00	-0.001
