nm	Abs
700.00	0.002
699.80	0.001
699.60	0.001
699.40	0.002
699.20	0.001
699.00	0.001
698.80	0.001
698.60	0.001
698.40	0.002
698.20	0.001
698.00	0.001
697.80	0.002
697.60	0.001
697.40	0.001
697.20	0.002
697.00	0.001
696.80	0.002
696.60	0.001
696.40	0.001
696.20	0.002
696.00	0.002
695.80	0.001
695.60	0.001
695.40	0.002
695.20	0.001
695.00	0.002
694.80	0.001
694.60	0.002
694.40	0.002
694.20	0.001
694.00	0.002
693.80	0.001
693.60	0.002
693.40	0.001
693.20	0.001
693.00	0.002
692.80	0.001
692.60	0.001
692.40	0.001
692.20	0.002
692.00	0.001
691.80	0.001
691.60	0.002
691.40	0.001
691.20	0.002
691.00	0.001
690.80	0.002
690.60	0.002
690.40	0.001
690.20	0.002
690.00	0.002
689.80	0.001
689.60	0.002
689.40	0.001
689.20	0.001
689.00	0.002
688.80	0.002
688.60	0.002
688.40	0.001
688.20	0.001
688.00	0.002
687.80	0.001
687.60	0.001
687.40	0.002
687.20	0.001
687.00	0.002
686.80	0.001
686.60	0.002
686.40	0.002
686.20	0.001
686.00	0.002
685.80	0.001
685.60	0.001
685.40	0.001
685.20	0.001
685.00	0.002
684.80	0.001
684.60	0.002
684.40	0.002
684.20	0.002
684.00	0.000
683.80	0.002
683.60	0.002
683.40	0.001
683.20	0.003
683.00	0.001
682.80	0.003
682.60	0.001
682.40	0.001
682.20	0.003
682.00	0.000
681.80	0.002
681.60	0.002
681.40	0.000
681.20	0.002
681.00	0.001
680.80	0.002
680.60	0.002
680.40	0.001
680.20	0.003
680.00	0.002
679.80	0.001
679.60	0.003
679.40	0.002
679.20	0.001
679.00	0.003
678.80	0.001
678.60	0.003
678.40	0.002
678.20	0.001
678.00	0.002
677.80	0.002
677.60	0.001
677.40	0.002
677.20	0.001
677.00	0.002
676.80	0.002
676.60	0.002
676.40	0.002
676.20	0.002
676.00	0.002
675.80	0.003
675.60	0.000
675.40	0.003
675.20	0.003
675.00	0.001
674.80	0.003
674.60	0.001
674.40	0.003
674.20	0.001
674.00	0.001
673.80	0.004
673.60	0.000
673.40	0.002
673.20	0.003
673.00	0.001
672.80	0.002
672.60	0.002
672.40	0.002
672.20	0.002
672.00	0.002
671.80	0.003
671.60	0.002
671.40	0.001
671.20	0.003
671.00	0.002
670.80	0.002
670.60	0.003
670.40	0.002
670.20	0.003
670.00	0.002
669.80	0.002
669.60	0.003
669.40	0.002
669.20	0.002
669.00	0.003
668.80	0.002
668.60	0.002
668.40	0.003
668.20	0.002
668.00	0.003
667.80	0.002
667.60	0.003
667.40	0.003
667.20	0.001
667.00	0.004
666.80	0.003
666.60	0.002
666.40	0.004
666.20	0.002
666.00	0.004
665.80	0.002
665.60	0.004
665.40	0.003
665.20	0.002
665.00	0.004
664.80	0.003
664.60	0.003
664.40	0.003
664.20	0.003
664.00	0.004
663.80	0.003
663.60	0.003
663.40	0.004
663.20	0.003
663.00	0.002
662.80	0.004
662.60	0.004
662.40	0.003
662.20	0.004
662.00	0.003
661.80	0.005
661.60	0.003
661.40	0.003
661.20	0.005
661.00	0.002
660.80	0.004
660.60	0.004
660.40	0.004
660.20	0.004
660.00	0.004
659.80	0.004
659.60	0.004
659.40	0.003
659.20	0.005
659.00	0.004
658.80	0.004
658.60	0.005
658.40	0.005
658.20	0.004
658.00	0.004
657.80	0.005
657.60	0.005
657.40	0.004
657.20	0.005
657.00	0.006
656.80	0.004
656.60	0.005
656.40	0.005
656.20	0.006
656.00	0.005
655.80	0.006
655.60	0.006
655.40	0.005
655.20	0.006
655.00	0.006
654.80	0.006
654.60	0.005
654.40	0.006
654.20	0.007
654.00	0.005
653.80	0.007
653.60	0.006
653.40	0.007
653.20	0.006
653.00	0.007
652.80	0.007
652.60	0.006
652.40	0.008
652.20	0.007
652.00	0.007
651.80	0.007
651.60	0.008
651.40	0.008
651.20	0.007
651.00	0.008
650.80	0.008
650.60	0.007
650.40	0.008
650.20	0.008
650.00	0.008
649.80	0.009
649.60	0.009
649.40	0.009
649.20	0.009
649.00	0.009
648.80	0.010
648.60	0.009
648.40	0.009
648.20	0.010
648.00	0.010
647.80	0.010
647.60	0.011
647.40	0.011
647.20	0.010
647.00	0.011
646.80	0.012
646.60	0.011
646.40	0.011
646.20	0.012
646.00	0.012
645.80	0.012
645.60	0.012
645.40	0.013
