nm	Abs
700.00	0.002
699.80	0.001
699.60	0.001
699.40	0.001
699.20	0.001
699.00	0.002
698.80	0.000
698.60	0.001
698.40	0.001
698.20	0.001
698.00	0.002
697.80	0.001
697.60	0.000
697.40	0.001
697.20	0.000
697.00	0.001
696.80	0.001
696.60	0.000
696.40	0.001
696.20	0.000
696.00	0.001
695.80	0.001
695.60	0.000
695.40	0.002
695.20	0.000
695.00	0.001
694.80	0.001
694.60	0.000
694.40	0.001
694.20	0.000
694.00	0.001
693.80	0.001
693.60	0.001
693.40	0.001
693.20	0.001
693.00	0.001
692.80	0.001
692.60	0.001
692.40	0.000
692.20	0.002
692.00	0.000
691.80	0.001
691.60	0.001
691.40	0.001
691.20	0.002
691.00	0.000
690.80	0.001
690.60	0.001
690.40	0.000
690.20	0.001
690.00	0.001
689.80	0.001
689.60	0.001
689.40	0.001
689.20	0.001
689.00	0.000
688.80	0.001
688.60	0.002
688.40	0.001
688.20	0.000
688.00	0.001
687.80	0.001
687.60	0.001
687.40	0.000
687.20	0.001
687.00	0.001
686.80	0.000
686.60	0.001
686.40	0.000
686.20	0.001
686.00	0.001
685.80	0.001
685.60	0.001
685.40	0.001
685.20	0.001
685.00	0.001
684.80	0.001
684.60	0.001
684.40	0.001
684.20	0.001
684.00	0.000
683.80	0.002
683.60	0.001
683.40	0.001
683.20	0.001
683.00	0.000
682.80	0.002
682.60	0.000
682.40	0.001
682.20	0.002
682.00	0.000
681.80	0.002
681.60	0.001
681.40	0.000
681.20	0.001
681.00	0.001
680.80	0.001
680.60	0.000
680.40	0.000
680.20	0.001
680.00	0.001
679.80	0.000
679.60	0.001
679.40	0.000
679.20	0.001
679.00	0.001
678.80	0.001
678.60	0.001
678.40	0.001
678.20	0.001
678.00	0.001
677.80	0.001
677.60	0.001
677.40	0.001
677.20	0.001
677.00	0.001
676.80	0.001
676.60	0.000
676.40	0.001
676.20	0.001
676.00	0.000
675.80	0.002
675.60	0.000
675.40	0.003
675.20	0.000
675.00	0.001
674.80	0.002
674.60	0.000
674.40	0.001
674.20	0.001
674.00	0.001
673.80	0.002
673.60	0.000
673.40	0.002
673.20	0.002
673.00	0.000
672.80	0.002
672.60	0.002
672.40	0.000
672.20	0.001
672.00	0.002
671.80	0.000
671.60	0.002
671.40	-0.001
671.20	0.002
671.00	0.001
670.80	0.000
670.60	0.002
670.40	0.001
670.20	0.001
670.00	0.002
669.80	0.000
669.60	0.001
669.40	0.002
669.20	0.000
669.00	0.001
668.80	0.002
668.60	0.001
668.40	0.002
668.20	0.001
668.00	0.000
667.80	0.002
667.60	0.000
667.40	0.001
667.20	0.001
667.00	0.001
666.80	0.001
666.60	0.001
666.40	0.001
666.20	0.001
666.00	0.001
665.80	0.001
665.60	0.002
665.40	0.001
665.20	0.000
665.00	0.001
664.80	0.002
664.60	0.000
664.40	0.002
664.20	0.001
664.00	0.002
663.80	0.001
663.60	0.000
663.40	0.002
663.20	0.001
663.00	0.000
662.80	0.002
662.60	0.001
662.40	0.000
662.20	0.002
662.00	0.000
661.80	0.001
661.60	0.001
661.40	0.001
661.20	0.002
661.00	0.001
660.80	0.001
660.60	0.002
660.40	0.001
660.20	0.001
660.00	0.002
659.80	0.001
659.60	0.001
659.40	0.001
659.20	0.001
659.00	0.001
658.80	0.002
658.60	0.001
658.40	0.002
658.20	0.001
658.00	0.001
657.80	0.002
657.60	0.002
657.40	0.001
657.20	0.001
657.00	0.003
656.80	0.001
656.60	0.002
656.40	0.002
656.20	0.001
656.00	0.002
655.80	0.002
655.60	0.001
655.40	0.002
655.20	0.001
655.00	0.002
654.80	0.002
654.60	0.001
654.40	0.002
654.20	0.003
654.00	0.001
653.80	0.002
653.60	0.002
653.40	0.002
653.20	0.003
653.00	0.002
652.80	0.002
652.60	0.002
652.40	0.002
652.20	0.002
652.00	0.002
651.80	0.002
651.60	0.002
651.40	0.002
651.20	0.002
651.00	0.002
650.80	0.003
650.60	0.002
650.40	0.002
650.20	0.003
650.00	0.002
649.80	0.002
649.60	0.003
649.40	0.002
649.20	0.002
649.00	0.003
648.80	0.001
648.60	0.003
648.40	0.003
648.20	0.002
648.00	0.003
647.80	0.002
647.60	0.003
647.40	0.004
647.20	0.002
647.00	0.002
646.80	0.004
646.60	0.003
646.40	0.003
646.20	0.002
646.00	0.003
645.80	0.003
645.60	0.003
